Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
491,2,18.5,117.53,15.05,0
492,2,17,117.45,10.34,0
493,2,14.5,79.47,2.08,0
494,4,23.5,113.55,13.3,0
495,3,131.18,103.12,21.17,1
496,3,125.76,125.74,16.4,1
497,4,51.85,122,12.03,1
498,3,42,127.14,20.23,1
499,3,97,126.21,25.24,1
500,4,42.5,157.33,15.68,0
501,4,74.55,89.99,13.06,0
502,3,142.08,113.5,15.99,0
503,3,103.39,108.81,15.5,1
504,3,151.8,120.25,40.74,0
505,3,130,108.28,21.23,1
506,3,106.21,129.9,14.22,1
507,4,19,161.51,17.26,1
508,3,135.91,126.5,18.44,0
509,4,13,107.12,14.47,0
510,3,134.29,110.54,13.11,1
511,3,153.33,107.78,24.14,0
512,3,143.28,133.64,22.04,0
513,3,103,142.63,14.24,1
514,4,98,105.54,18.3,1
515,3,113.97,121,14.58,1
516,3,146.09,105.03,20.21,0
517,3,157,104.8,18.24,0
518,3,134,113.98,20.24,1
519,3,144,110.46,19.77,0
520,3,26.5,118.85,12.51,1
521,3,121,114.98,12.95,1
522,3,160.62,136.38,19.24,0
523,3,145.64,143.95,27.41,0
524,3,110,76.43,9.66,0
525,3,55.83,124.37,16.08,1
526,3,93.5,111.82,9.88,0
527,3,140.06,96.35,10.9,1
528,3,107,147.98,17.11,1
529,4,69.5,117.63,10.46,0
530,3,111.96,139.95,17.55,1
531,6,133.34,108.85,20.27,0
532,3,142.78,121.74,19.91,0
533,3,160.38,82.82,15.09,0
534,3,129.62,121.61,16.27,0
535,4,46.5,145.92,12.72,0
536,3,135.59,111.77,14.66,1
537,3,83.1,98.61,19.32,0
538,3,135.5,97.53,25.59,1
539,3,125.32,130.96,18.76,1
540,3,145.82,126.84,25.1,0
541,3,64.03,137.58,16.24,0
542,3,143.76,151.12,25.56,0
543,3,127.73,119.25,16.18,0
544,9,71,105.3,10.28,1
545,3,152.19,122.41,18.84,0
546,9,137,100.69,16.63,0
547,3,168.06,94.77,21.78,0
548,3,158.75,115.63,22.28,0
549,3,145.48,126.13,16.74,1
550,3,149.51,118.2,22.01,0
551,3,109.36,118.68,16.44,0
552,3,152.17,133.27,29.4,0
553,3,96.47,124.26,12.37,1
554,3,136.87,123.32,15.97,1
555,3,92.73,115.53,11.33,1
556,3,147.98,95.23,21.78,0
557,3,117.83,123.47,18.99,0
558,3,95.94,105.54,10.83,0
559,3,118,135.01,19.32,1
560,3,42.5,152.69,18.42,0
561,3,163.22,114.45,15.14,0
562,3,56,130.83,14.77,1
563,3,139.08,125.32,17.07,1
564,3,76.98,100.96,11.01,0
565,3,82.34,96.15,24.04,1
566,3,75.7,118.31,18.4,0
567,3,71,131.07,12.54,0
568,3,145.51,111.56,20.71,0
569,3,111.29,109.59,13.17,1
570,3,159.39,124.98,21.31,0
571,3,146.49,126.82,22.88,1
572,3,132,121.22,20.59,0
573,3,135.09,106.87,13.8,1
574,3,125.59,113.46,15.85,0
575,3,67,165.82,20.12,0
576,3,169.83,127.64,22.68,0
577,2,100.33,116.44,26.47,1
578,3,142.24,113.99,17.78,0
579,3,131,142.08,18.7,1
580,10,54.5,110.76,9.39,0
581,8,135.49,96.72,22.17,0
582,3,118,77.03,10.61,1
583,3,67.37,122.23,17.83,0
584,3,139.78,112.93,18.84,1
585,3,128.24,111.35,28.31,0
586,3,65.42,136.27,14.9,1
587,3,67.35,143.55,16.62,0
588,3,137.1,141.76,27.98,0
589,4,87.13,147.55,12.58,1
590,3,172.2,120.82,23.69,0
591,3,76.79,113.34,13.85,1
592,9,9.5,44.78,3.84,1
593,9,23,103.86,19.24,0
594,3,10.5,NA,NA,0
595,3,45.5,120.9,11.37,0
596,3,168.24,109.84,15.44,0
597,3,58.5,138.25,19.59,0
598,3,149.73,127.59,19.59,0
599,3,139.57,128.78,19.44,1
600,4,43,115.44,11.47,0
601,3,55.05,119.56,11.81,0
602,3,144,126.52,16.42,0
603,3,40,142.57,13.58,0
604,3,87.59,123.23,16.96,1
605,3,119.45,129.23,16.07,0
606,3,44,129.41,12.76,1
607,4,86.65,111.26,14.67,1
608,3,80.15,140.79,16.02,1
609,9,100.28,90.23,15.51,0
610,3,101.88,136.69,17.11,0
611,3,104.92,125.22,16.38,1
612,3,76.72,144.4,16.04,0
613,3,116.83,137.28,18.28,0
614,3,135.78,121.61,17.92,1
615,3,118.87,120.64,18.92,1
616,3,111.74,117.95,13.88,1
617,3,96.5,152.36,28.83,0
618,3,107.36,105.71,18.48,1
619,3,146.09,100.72,14.01,0
620,3,63.39,127.47,14.24,1
621,3,135.69,132.1,20.54,0
622,3,113.95,134.05,14.99,0
623,3,84.09,127.96,9.42,0
624,3,114.69,135.37,18.89,1
625,3,55,123.7,14.54,0
626,3,87.93,127.85,11.99,0
627,3,99,94.37,9.19,1
628,3,51.5,124.86,15.66,0
629,3,135,90.69,18.31,0
630,4,54.5,164,24.32,1
631,3,34.5,116.48,13.45,1
632,3,113,129.87,12.04,1
633,3,102.89,116.69,16.92,1
634,3,113,111.63,14.23,0
635,3,100.5,125.55,19.66,1
636,3,18,138.29,9.64,0
637,3,103.92,100.74,12.55,1
638,8,63.99,123.48,12.95,0
639,8,145.5,98.09,17.54,1
640,3,38,156.1,18.41,1
641,9,79.72,93.05,12.01,0
642,3,154.5,102.81,17.3,0
643,3,80.65,115.69,13.63,0
644,3,45.5,140.52,14.53,0
645,4,16.5,106.27,13.36,0
646,3,127.3,123.37,17.58,1
647,3,122.82,76.47,12.39,1
648,3,85.6,143.47,13.44,1
649,3,75.05,127.17,18.47,0
650,3,107.24,117.55,19.18,1
651,3,55.32,153.79,18.29,0
652,3,103.5,110.59,19.82,0
653,3,110,70.22,18.68,0
654,8,9.5,86.46,4.35,0
655,3,123.31,127.05,15.44,1
656,3,71.62,135.69,16.3,0
657,8,147.94,99.06,20.54,0
658,3,111.21,105.48,12.64,1
659,8,25.5,119.99,16.77,1
660,3,51,122.12,11.14,0
661,8,21,NA,NA,1
662,3,70.5,116.59,10.84,1
663,8,44.5,95.03,18.05,1
664,8,14,NA,NA,0
665,3,114.47,120.91,15.19,1
666,8,97.45,137.8,14.92,1
667,3,50.56,123.21,49.84,1
668,8,56,123.87,15.32,0
669,3,89.95,97.6,8.56,1
670,8,49.5,107.08,14.72,0
671,4,68.81,141.65,17.03,0
672,8,27,104.71,14.94,0
673,3,34.5,119.78,14.41,0
674,3,113.69,130.65,15.47,0
675,8,64,117.74,13.6,0
676,3,115,117.02,14.9,0
677,8,88.95,142.13,13.89,1
678,3,116.18,103.3,20.56,0
679,3,57.74,142.65,16.61,0
680,3,127.73,113.7,16.94,0
681,3,64.84,117.46,14.6,0
682,7,158.25,119.63,29.02,0
683,3,79.53,94.1,12.27,1
684,3,25.5,115.96,19.44,0
685,7,68.5,99.75,11.86,0
686,4,58.5,128.9,14.1,0
687,3,123.87,127.17,12.52,1
688,3,22.5,139.54,19.15,0
689,3,116.79,105.19,14.27,1
690,3,79,119.99,21.41,0
691,4,54.07,122.43,13.99,0
692,3,93,140.4,14.21,0
693,3,43,131.38,17.29,1
694,3,86.46,143.43,17.18,0
695,3,63,141.82,17.71,0
696,3,124.5,112.18,15.72,1
697,3,104.23,107.04,14.96,0
698,3,68.5,113.89,15.38,0
699,4,60,121.92,16.18,0
700,3,88.58,126.91,17.06,0
701,3,97.5,125.38,18.79,0
702,3,68.94,124.76,14.7,0
703,3,33,148.59,19.31,0
704,3,72,98.25,10.79,0
705,3,43,114.73,13.58,1
706,3,70,105.21,10.13,1
707,3,88.96,111.87,15.03,0
708,7,125.5,94.39,21.13,1
709,8,22.54,73.21,12.74,0
710,7,126.74,126.36,15.54,1
711,7,67.43,98.36,13.66,1
712,3,85.55,125.41,15.85,1
713,7,39,132.59,14.36,1
714,3,103,134.9,22.47,0
715,3,92,96.92,9.11,0
716,3,85.11,120.82,11.98,0
717,7,144.79,95.93,19.85,0
718,3,65,115.48,16.11,1
719,8,8.5,42.03,8.99,0
720,3,61,125.97,12.28,0
721,3,59.85,131.32,12.68,0
722,7,120.58,78.79,28.74,1
723,6,134,111.82,22.36,0
724,3,43,137.66,14.26,0
725,3,72,118.63,13.66,1
726,3,85.08,111.22,10.48,0
727,3,81.5,105.9,18.09,1
728,7,132.33,120.49,18.64,0
729,7,153.49,114.34,18.89,0
730,3,46.5,125.01,11.81,1
731,7,44.5,81.66,12.6,0
732,7,152.92,102.28,22.88,0
733,7,12,49.6,3.91,0
734,7,132.66,109.17,23.69,1
735,3,57.21,137.28,15,1
736,7,120.47,90.91,16.18,0
737,7,103,107.55,18.29,1
738,6,144,87.39,13.53,1
739,7,10.62,58.1,8.52,0
740,7,35.88,123.17,19.75,1
741,7,169.25,93.25,25.18,0
742,7,83.58,118.59,23.86,1
743,3,62.71,121.99,11.8,1
744,3,114.79,95.28,11.45,0
745,3,89.5,113.27,12.97,1
746,7,8.5,97.9,10.85,0
747,3,97.54,123.44,17.07,1
748,7,101,115.17,20.21,1
749,3,102.5,117.3,14.31,1
750,7,137.14,97.95,12.71,0
751,7,126.48,126.67,27.65,1
752,7,76.71,111.98,16.21,1
753,7,106.63,119.67,18.98,1
754,7,109.3,111.9,15.94,1
755,7,68,128.6,19.85,1
756,3,81.06,123.18,11.92,0
757,7,127.5,120.67,18.72,0
758,3,100,110.94,22.25,1
759,7,12.5,83.44,11.07,1
760,3,87.03,131.35,13,1
761,7,111.37,105.57,13.67,0
762,3,87.12,129.15,12.81,0
763,7,34,104.28,11.82,0
764,3,66.5,129.51,12.96,0
765,7,119.32,114.38,18.41,1
766,6,116.98,115.86,15.08,1
767,7,125.5,138.41,13.88,0
768,7,128.61,116.39,19.87,0
769,4,57.5,138.49,17.33,0
770,3,84.08,132.8,11.63,0
771,3,77.5,136.14,21.78,0
772,7,87,93.74,12.25,1
773,3,100.52,97.15,11.86,0
774,7,42.5,129.82,16.32,0
775,3,102.5,109.29,9.03,0
776,7,54.5,127.25,11.26,0
777,3,85.11,158.84,20.26,0
778,3,49.5,98.72,12.86,0
779,7,108.5,101.1,13.56,1
780,3,108.99,123.49,17.69,1
781,6,165.94,125.14,25.77,0
782,4,64.67,145.22,16.88,0
783,3,57,131.13,13.46,0
784,7,63.5,113.97,12.82,1
785,6,85.12,114.3,12.14,0
786,6,118.93,116.4,12.69,0
787,3,49.44,118.92,9.87,1
788,6,163.67,123.39,17.89,0
789,7,88.5,140.31,18.64,1
790,3,69.74,115.26,15.32,1
791,7,68.74,144.44,14.63,0
792,7,70,127.76,18.23,0
